                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1444,                 4.9136,                 1.6265,                0.17662,                0.10517,                0.08175,                0.03784,                 1.8815,                 3.8489,                 1.3824,             0.00019458,             0.00019458,             0.00019458
                      2,                 2.0707,                 3.9966,                 1.5152,                0.28565,                0.23525,                0.15961,                0.08168,                 1.8043,                  4.711,                 1.4121,             0.00038252,             0.00038252,             0.00038252
                      3,                 2.0041,                 3.6531,                 1.5092,                0.53197,                0.24308,                0.21269,                 0.0943,                 1.8629,                 3.3324,                 1.4764,             0.00056238,             0.00056238,             0.00056238
                      4,                 2.0176,                 3.3658,                 1.5089,                0.36595,                0.30225,                0.25787,                0.13521,                 1.7696,                 3.0281,                 1.4182,             0.00055162,             0.00055162,             0.00055162
                      5,                  1.926,                 3.1322,                 1.4769,                0.56219,                0.25993,                0.36712,                0.19068,                 1.7988,                 2.5781,                 1.4262,             0.00055162,             0.00055162,             0.00055162
                      6,                  1.937,                 2.9869,                 1.4585,                0.29855,                0.41687,                  0.362,                0.19989,                 1.7444,                 2.4928,                 1.3866,             0.00053949,             0.00053949,             0.00053949
                      7,                 1.8692,                 2.6498,                 1.4168,                0.62794,                0.29736,                0.37036,                0.18521,                 1.8301,                 2.3879,                 1.4513,             0.00052736,             0.00052736,             0.00052736
                      8,                 1.7836,                 2.4784,                 1.3971,                0.41587,                0.40134,                0.37175,                0.18867,                 1.7303,                 2.3583,                 1.3821,             0.00051523,             0.00051523,             0.00051523
                      9,                 1.8124,                 2.3692,                 1.3836,                0.39038,                0.43599,                0.39591,                 0.1995,                 1.7156,                 2.2821,                 1.3946,             0.00050311,             0.00050311,             0.00050311
                     10,                 1.7681,                 2.3166,                 1.3563,                0.57262,                0.37661,                0.48051,                0.26137,                 1.7108,                 2.1057,                 1.3494,             0.00049098,             0.00049098,             0.00049098
                     11,                 1.7168,                 2.1644,                 1.3504,                0.53395,                0.37968,                 0.4462,                0.25292,                 1.6975,                 2.0663,                 1.3363,             0.00047885,             0.00047885,             0.00047885
                     12,                 1.7011,                 2.0637,                 1.3418,                0.62591,                0.38933,                0.50895,                0.27298,                  1.696,                 1.9386,                 1.3382,             0.00046672,             0.00046672,             0.00046672
                     13,                 1.6585,                 1.9004,                 1.3154,                0.46161,                0.46306,                0.47225,                0.26276,                 1.7452,                 1.9796,                 1.4151,              0.0004546,              0.0004546,              0.0004546
                     14,                 1.6274,                 1.8636,                 1.2864,                0.60653,                0.44858,                0.49863,                0.27944,                 1.6732,                 1.9138,                 1.3282,             0.00044247,             0.00044247,             0.00044247
                     15,                 1.6048,                 1.7817,                 1.2843,                0.58629,                0.54619,                0.55158,                0.29945,                 1.6469,                 1.8163,                 1.3179,             0.00043034,             0.00043034,             0.00043034
                     16,                 1.6006,                 1.7389,                 1.2569,                 0.6047,                0.47278,                0.53499,                0.28581,                 1.6126,                 1.8317,                  1.329,             0.00041821,             0.00041821,             0.00041821
                     17,                 1.5972,                 1.6082,                 1.2612,                0.68575,                0.50937,                0.57573,                0.30609,                 1.6205,                 1.6629,                 1.3043,             0.00040609,             0.00040609,             0.00040609
                     18,                 1.5929,                  1.647,                 1.2744,                0.56991,                0.45846,                0.53728,                0.28919,                 1.6676,                 1.7594,                 1.3452,             0.00039396,             0.00039396,             0.00039396
                     19,                 1.5218,                 1.5433,                 1.2313,                 0.5651,                0.44139,                0.51063,                0.27167,                 1.6515,                 1.9676,                 1.3184,             0.00038183,             0.00038183,             0.00038183
                     20,                 1.5439,                 1.5592,                 1.2328,                0.53195,                0.53553,                 0.5642,                0.31231,                 1.6251,                 1.8528,                 1.3151,             0.00036971,             0.00036971,             0.00036971
                     21,                 1.5198,                 1.4768,                 1.2282,                0.62251,                0.56601,                0.57551,                0.30461,                 1.7072,                 1.7921,                 1.3623,             0.00035758,             0.00035758,             0.00035758
                     22,                 1.5208,                 1.4572,                 1.2111,                 0.5801,                0.50256,                0.52548,                0.30116,                 1.6431,                 1.7793,                 1.3021,             0.00034545,             0.00034545,             0.00034545
                     23,                 1.4919,                  1.418,                 1.2039,                0.67266,                0.50539,                0.60188,                0.35198,                 1.5508,                  1.641,                 1.2577,             0.00033332,             0.00033332,             0.00033332
                     24,                 1.4872,                 1.4104,                 1.2037,                0.63259,                0.51939,                0.60878,                0.34632,                 1.6203,                 1.6654,                 1.2974,              0.0003212,              0.0003212,              0.0003212
                     25,                 1.4765,                 1.3567,                 1.1914,                0.63317,                0.53898,                0.56778,                0.31239,                 1.6664,                 1.6783,                  1.322,             0.00030907,             0.00030907,             0.00030907
                     26,                 1.4557,                 1.3218,                 1.1884,                 0.6895,                0.54065,                0.59639,                0.33549,                  1.651,                 1.7245,                 1.2947,             0.00029694,             0.00029694,             0.00029694
                     27,                  1.435,                 1.2929,                 1.1796,                0.75061,                0.52878,                0.62051,                0.33992,                 1.6134,                 1.6386,                 1.2712,             0.00028481,             0.00028481,             0.00028481
                     28,                  1.405,                 1.2682,                  1.166,                0.59797,                0.60139,                0.58728,                0.31269,                 1.5831,                 1.6607,                 1.2509,             0.00027268,             0.00027268,             0.00027268
                     29,                 1.3616,                 1.2109,                 1.1576,                0.71403,                0.54333,                0.62111,                0.34992,                  1.557,                 1.5799,                 1.2631,             0.00026056,             0.00026056,             0.00026056
                     30,                 1.3544,                 1.1857,                 1.1505,                0.67721,                0.57148,                 0.6242,                0.35566,                   1.59,                 1.5395,                 1.2508,             0.00024843,             0.00024843,             0.00024843
                     31,                 1.3462,                 1.1707,                 1.1314,                0.63693,                0.62676,                0.62881,                0.34824,                 1.6254,                 1.6067,                 1.2748,              0.0002363,              0.0002363,              0.0002363
                     32,                 1.3761,                 1.1688,                  1.142,                0.76733,                0.51785,                0.62541,                0.34426,                 1.6472,                 1.5658,                 1.2847,             0.00022417,             0.00022417,             0.00022417
                     33,                 1.3884,                 1.1692,                 1.1393,                0.77234,                0.55121,                0.64665,                 0.3574,                 1.6368,                 1.5744,                 1.2897,             0.00021205,             0.00021205,             0.00021205
                     34,                 1.3174,                 1.1414,                 1.1234,                0.57937,                0.60069,                0.60892,                0.34583,                 1.6113,                 1.5677,                 1.2688,             0.00019992,             0.00019992,             0.00019992
                     35,                 1.3048,                 1.0917,                 1.1172,                0.70326,                0.51545,                0.59036,                 0.3248,                 1.6271,                 1.6217,                 1.2597,             0.00018779,             0.00018779,             0.00018779
                     36,                 1.3073,                 1.0851,                 1.1146,                0.76388,                0.56002,                0.61902,                0.35559,                 1.6022,                 1.6219,                 1.2651,             0.00017566,             0.00017566,             0.00017566
                     37,                  1.305,                 1.0693,                 1.1128,                0.57162,                0.58223,                0.60057,                0.34941,                 1.5962,                 1.5217,                  1.247,             0.00016354,             0.00016354,             0.00016354
                     38,                 1.3016,                 1.0649,                 1.1116,                0.67727,                0.60683,                0.63572,                0.35287,                 1.5969,                 1.5751,                 1.2761,             0.00015141,             0.00015141,             0.00015141
                     39,                 1.2273,                 0.9843,                 1.0904,                0.69895,                 0.5356,                0.59772,                0.36718,                 1.5522,                 1.5606,                 1.2457,             0.00013928,             0.00013928,             0.00013928
                     40,                 1.2037,                0.94702,                 1.0597,                0.63782,                0.59775,                0.62058,                   0.36,                 1.5476,                 1.4934,                  1.228,             0.00012716,             0.00012716,             0.00012716
                     41,                 1.2114,                0.94832,                 1.0742,                0.65792,                0.58758,                0.63845,                0.37381,                  1.585,                 1.5431,                 1.2356,             0.00011503,             0.00011503,             0.00011503
                     42,                 1.1759,                0.91482,                 1.0534,                0.68381,                0.62257,                0.65816,                0.37217,                 1.5734,                 1.4465,                  1.245,              0.0001029,              0.0001029,              0.0001029
                     43,                 1.1751,                0.89966,                 1.0602,                 0.7917,                0.58231,                0.66192,                 0.3784,                  1.595,                 1.4258,                 1.2583,             9.0773e-05,             9.0773e-05,             9.0773e-05
                     44,                 1.1584,                0.87493,                 1.0418,                0.72734,                0.60536,                0.65197,                0.36771,                 1.5978,                 1.5104,                 1.2623,             7.8645e-05,             7.8645e-05,             7.8645e-05
                     45,                 1.1307,                0.85445,                 1.0412,                0.78918,                0.58421,                0.65111,                0.36513,                 1.6117,                 1.5204,                 1.2535,             6.6517e-05,             6.6517e-05,             6.6517e-05
                     46,                 1.1332,                0.85094,                 1.0306,                 0.7629,                0.60098,                 0.6581,                0.37931,                 1.5731,                 1.5005,                 1.2379,              5.439e-05,              5.439e-05,              5.439e-05
                     47,                 1.1266,                  0.861,                 1.0443,                0.75029,                0.60399,                0.65199,                0.37611,                 1.6061,                 1.5249,                 1.2582,             4.2262e-05,             4.2262e-05,             4.2262e-05
                     48,                 1.1123,                0.84909,                 1.0229,                0.75411,                0.60186,                0.65212,                0.37309,                   1.59,                 1.5149,                 1.2434,             3.0135e-05,             3.0135e-05,             3.0135e-05
